id,review,target
train_0,이런 최고의 영화를 이제서야 보다니,1
train_1,안봤지만 유승준나와서 비추.,0
train_2,시대를 못 따라간 연출과 촌스러운 영상미.,0
train_3,원소전 굿,1
train_4,ㅋㅋㅋㅋ 개봉영화평점단사람이1명 ㅋㅋㅋㅋ,1
train_5,실화라니 너무 가슴 아프다...,1
train_6,뭐야 이거ㅡㅡ폴 워커 믿고 볼 영화는 분질뿐인가,0
train_7,갑자기 생각나서 오늘 다시봤는데...역시...말이 필요 없네요,1
train_8,주님 사랑합니다. 행복합니다.,1
train_9,하드보일드 액션...그건 봐줄만 한데...스토리가 약해...그래서 설득력도 떨어지고,0
train_10,믿을수없어 이렇게 평점이 높다니ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
train_11,스토리가 좀 아쉽긴 하지만 나름 설레면서 봄,1
train_12,춘추전국시대에 공자를 비롯한 그 제자들이 어떤 삶을 살았고 어떤 삶을 살고자 했는지 절실하게 느낄 수 있었다.,1
train_13,공수창 감독ㅋㅋ알포인트로 살짝 말아먹고 gp506으로 시원하게말아먹어서 되돌아올수없는 구렁텅이로 운지ㅋㅋㅋ영화계에서 안보이니까 속이 다시원하네ㅋㅋㅋㅋ,0
train_14,엄청울었다 새엄마랑딸스토리넘슬펐음 영화도 특유의한국느낌제대로나게 잘만들었던데 평점이 너무낮다봄 8.2점정도가적절할듯,1
train_15,오백원준다니 일단 적어근데 보기전에 적으라는건 뭐냐ㅋㅋ보고나서적으라고 뜨던가,1
train_16,포스터의 눈빛.....하지만 아버진 우릴 사랑한단다,1
train_17,처음에는 낯설지만 볼수록 몰입되네요,1
train_18,억지감동 장애인에 대한 편견이 없었는데 오늘 이후로 생겼다. 장애인이 짜증난다 미쳐버릴거같다. 주인공이 좀비같았다.,0
train_19,역시 장근석은 일본영화도 참 잘찍는 멋진 배우다.,1
train_20,와우 지금 아이돌하나 섭외해서 리메이크해도 충분히 흥행할꺼야.,1
train_21,현실과 환각 사이를 오간다. 정신 없다.,0
train_22,와 젠장 이제 빌런들 다 죽었다,1
train_23,얼굴 시꺼먼게 먼 죄냥....,0
train_24,OOO기력 김남길 !!!,1
train_25,정말 대박 이네요 왜이제서야 봤을까 ..극장에서 봤으면 감동 두배,1
train_26,무턱대고 날라다닌다고 좋은 액션이 아니다. 스토리도 구성이 중요하듯 액션도 구성이 중요하다고 보는데 내기준엔 스토리뿐만 아니라 액션도 별로인듯,0
train_27,비스트 짱 ! 화이팅!,1
train_28,쓰레기영화인듯.개막장영화,0
train_29,"2015년에 본것중 최고 지루한 영화.장르가 판타지,코메디 라고 나오는데....백보 양보해서 판타지는 인정하는데 도대체 어디에 코메디가 있었는지? 헐리웃영화모든 장르서 다나오는 그 흔한 미국식 조크마져도 한번도 안나오던데.애초 감독의 의도를 모르겠다.",0
train_30,아오이유우에게 있어 아쉬운 영화.,0
train_31,대박....,1
train_32,"미안, 1편이 걸작이라 1편에 먹칠한 2편에게 2점 이상 주는건 범죄야 범죄",0
train_33,평점으로 장난하지마라.. 쓰레기들 80년대 미국공포영화 따라하기 급급한 스페인. 내용도엉망 연출도엉망 실제점수는 3점정도가 딱맞음,0
train_34,존나 내5천원내놔,0
train_35,댓글보니 조금 이해가 된다 두산을 비꼬우고자 한 의도를 사람들이 높이 평가한거구만,0
train_36,완전 기발하니 웃겨요 ㅋㅋㅋㅋ,1
train_37,정말 가슴 찡한 이야기였습니다. 어디 가도 이렇게 가족애가 따뜻한 드라마는 없을 것 같아요.,1
train_38,정신없는전개가 딱 일본 야오이순정만화 수준.흐름이끈겨몰입도안된다.,0
train_39,"1편도 별로였는데, 더 별로다 ㅡㅡ;",0
train_40,명작이다. 크리스틴 연기가 뇌리에 남는다. 비노쉬 역시 아름답고 배우로서 매력적이다. 감독의 천재성과 각본의 탁월함. 그리고 음악까지...계속 보고픈 명작이다.,1
train_41,정말이에요,0
train_42,귀여움 가득한 어른동화,1
train_43,심장이 터질 것 같아요. 너무도 사랑스러워서 미소가 줄곧 입에서 떠나질 않았습니다.,1
train_44,좁은공간에서 벌어지는 심리싸움과 생각지도 못한 반전에 놀람,1
train_45,난 혼자사는데 보면서 가족안에 있는 것 같은 따듯함이 느껴졌다. 끝나고도 여운이 한참이나 이어졌다.,1
train_46,신세한탄 영화. 솔직히 보기거북이토끼경주해서 누가이김?,0
train_47,난재미있었습니다~추천ㅋ,1
train_48,전형적인 일본 또라이사상의 쓰레기영화,0
train_49,전투력이 T1000 뺨치는 문정희. 분명 뒤졌는데 다시 살아난 불사조 전미선.. 이 영화에 나오는 여자들은 절대죽지 않는 좀비들임.,0
train_50,출연 배우가 아까울 정도의 어딘가 많이 어색하고 부조로운 영화,0
train_51,이거예전에상영햇던거아닌가용 잼께봤는데,1
train_52,이런 오글거리는 제목은 참 오랜만이다,0
train_53,시도는 좋았으나 후반에는 이것도 저것도 아닌 영화.,0
train_54,명작 ㅋㅋㅋㅋㅋ꼬맹이들 무술 실력이...,1
